     ,subject,trial,fix_num,event_duration,leftrating,rightrating,rt     ,choice,roi,computed_rt,num_fixations,rev_fix_num,temp     ,corr_fix_duration
0    ,10.0   ,1    ,1.0    ,98.0          ,4.0       ,2.0        ,3808.0 ,1.0   ,1.0,3820.0     ,7.0          ,7.0        ,350.2857 ,350.2857         
1    ,10.0   ,1    ,2.0    ,426.0         ,4.0       ,2.0        ,3808.0 ,1.0   ,2.0,3820.0     ,7.0          ,6.0        ,450.35226,426.0            
2    ,10.0   ,1    ,3.0    ,319.0         ,4.0       ,2.0        ,3808.0 ,1.0   ,1.0,3820.0     ,7.0          ,5.0        ,385.79688,319.0            
3    ,10.0   ,1    ,4.0    ,259.0         ,4.0       ,2.0        ,3808.0 ,1.0   ,2.0,3820.0     ,7.0          ,4.0        ,486.14285,259.0            
4    ,10.0   ,1    ,5.0    ,1472.0        ,4.0       ,2.0        ,3808.0 ,1.0   ,1.0,3820.0     ,7.0          ,3.0        ,573.8571 ,1472.0           
5    ,10.0   ,1    ,6.0    ,382.0         ,4.0       ,2.0        ,3808.0 ,1.0   ,2.0,3820.0     ,7.0          ,2.0        ,535.125  ,382.0            
6    ,10.0   ,1    ,7.0    ,217.0         ,4.0       ,2.0        ,3808.0 ,1.0   ,1.0,3820.0     ,7.0          ,1.0        ,647.3333 ,217.0            
7    ,10.0   ,2    ,1.0    ,299.0         ,3.0       ,2.0        ,1913.0 ,1.0   ,2.0,1936.0     ,4.0          ,4.0        ,350.2857 ,299.0            
8    ,10.0   ,2    ,2.0    ,397.0         ,3.0       ,2.0        ,1913.0 ,1.0   ,1.0,1936.0     ,4.0          ,3.0        ,450.35226,397.0            
9    ,10.0   ,2    ,3.0    ,499.0         ,3.0       ,2.0        ,1913.0 ,1.0   ,2.0,1936.0     ,4.0          ,2.0        ,385.79688,499.0            
10   ,10.0   ,2    ,4.0    ,301.0         ,3.0       ,2.0        ,1913.0 ,1.0   ,1.0,1936.0     ,4.0          ,1.0        ,486.14285,301.0            
11   ,10.0   ,3    ,1.0    ,540.0         ,5.0       ,10.0       ,1121.0 ,0.0   ,1.0,1136.0     ,2.0          ,2.0        ,350.2857 ,540.0            
