n_arm,σ_obs,switch_cost,sample_cost,prior_bias,prop_seen,rt,mean_fixation_duration,best_seen_chosen,last_seen_chosen,n_refix
9.0,-3.0,0.0,0.0,-0.5,0.7068666666666669,2172.24,228.19931129237423,0.6775,0.8001,2.8229
16.0,-3.0,0.0,0.0,-0.5,0.5433625,2700.48,219.4710375836133,0.6629,0.8429,3.2222
25.0,-3.0,0.0,0.0,-0.5,0.40553200000000006,2924.92,203.0433209054684,0.6559,0.8662,3.7161
36.0,-3.0,0.0,0.0,-0.5,0.2906138888888889,2924.9,190.16145051455263,0.6635,0.8244,4.1349
9.0,-2.0,0.0,0.0,-0.5,0.6944222222222225,2615.17,289.3443893652933,0.6464,0.8337,2.568
16.0,-2.0,0.0,0.0,-0.5,0.53854375,2923.95,236.242662305615,0.6162,0.8772,3.4267
25.0,-2.0,0.0,0.0,-0.5,0.40852400000000005,3298.34,226.2137212027235,0.6089,0.8912,3.8536
36.0,-2.0,0.0,0.0,-0.5,0.3112,3548.04,211.87967908222498,0.614,0.8686,4.7425
9.0,-1.0,0.0,0.0,-0.5,0.7149555555555557,2737.0,281.00216635203554,0.5983,0.8427,3.0972
16.0,-1.0,0.0,0.0,-0.5,0.54704375,3364.49,277.2632889878612,0.5697,0.8809,3.2093
25.0,-1.0,0.0,0.0,-0.5,0.414916,3593.41,248.26295237312968,0.5626,0.9086,3.7799
36.0,-1.0,0.0,0.0,-0.5,0.311525,3776.21,232.776404919708,0.5698,0.9066,4.3955
9.0,0.0,0.0,0.0,-0.5,0.6988444444444447,3034.05,321.980974252328,0.5719,0.8738,2.9928
16.0,0.0,0.0,0.0,-0.5,0.54264375,3589.99,298.24281511771244,0.5441,0.8995,3.2252
25.0,0.0,0.0,0.0,-0.5,0.40208,3573.16,259.77555764855623,0.5172,0.9235,3.4766
36.0,0.0,0.0,0.0,-0.5,0.3146027777777778,4070.76,251.0875689342085,0.5304,0.915,4.4298
9.0,1.0,0.0,0.0,-0.5,0.7657666666666668,4217.12,368.6714279482768,0.5599,0.8465,4.3002
16.0,1.0,0.0,0.0,-0.5,0.5411375,3661.13,309.6335092676566,0.5209,0.9074,3.1574
25.0,1.0,0.0,0.0,-0.5,0.406748,3789.13,276.48078288483003,0.4893,0.9272,3.4266
36.0,1.0,0.0,0.0,-0.5,0.3206833333333333,4600.22,262.7324344712414,0.4992,0.8566,5.3161
9.0,2.0,0.0,0.0,-0.5,0.7466777777777779,3417.34,316.0039152249675,0.5076,0.8495,3.9432
16.0,2.0,0.0,0.0,-0.5,0.56718125,4381.36,343.60499030722747,0.4837,0.9062,3.6865
25.0,2.0,0.0,0.0,-0.5,0.396708,3629.17,267.5737991463031,0.4654,0.9179,3.5222
36.0,2.0,0.0,0.0,-0.5,0.2936388888888889,3681.82,263.72910119586135,0.4506,0.9335,3.2983
9.0,3.0,0.0,0.0,-0.5,0.7093777777777779,3708.77,398.9052019466908,0.5012,0.8804,2.9841
16.0,3.0,0.0,0.0,-0.5,0.58745,4427.14,322.55283180866087,0.4567,0.8946,4.2859
25.0,3.0,0.0,0.0,-0.5,0.430036,4525.03,302.8961027146556,0.4461,0.9157,4.1167
36.0,3.0,0.0,0.0,-0.5,0.29652222222222224,3894.09,271.26590630082694,0.431,0.9283,3.5416
9.0,0.0,-3.0,0.0,-0.5,0.753077777777778,2520.65,185.4583994092841,0.5251,0.7788,6.443
16.0,0.0,-3.0,0.0,-0.5,0.60938125,3704.06,198.39106165531078,0.531,0.809,8.3173
25.0,0.0,-3.0,0.0,-0.5,0.436704,3830.28,192.52100728914965,0.5277,0.7941,8.1547
36.0,0.0,-3.0,0.0,-0.5,0.32616388888888886,4061.9,191.80418253448778,0.5226,0.807,8.4559
9.0,0.0,-2.0,0.0,-0.5,0.7772111111111113,3082.86,229.45769917429345,0.5468,0.809,6.0402
16.0,0.0,-2.0,0.0,-0.5,0.5917625,3574.92,229.0129097730196,0.5249,0.8639,5.805
25.0,0.0,-2.0,0.0,-0.5,0.42841200000000007,3776.98,205.69500653237816,0.5193,0.8402,6.9072
36.0,0.0,-2.0,0.0,-0.5,0.32519444444444445,4185.82,208.84589266391606,0.5293,0.812,7.4031
9.0,0.0,-1.0,0.0,-0.5,0.7879222222222224,3927.94,297.45704921553323,0.5814,0.8152,5.6778
16.0,0.0,-1.0,0.0,-0.5,0.5763,3481.48,247.05129509616629,0.5239,0.8735,4.6198
25.0,0.0,-1.0,0.0,-0.5,0.4342999999999999,3913.79,247.20578448000168,0.5107,0.9057,4.7021
36.0,0.0,-1.0,0.0,-0.5,0.31270555555555557,4050.58,219.14873655241252,0.5379,0.815,6.3497
9.0,0.0,1.0,0.0,-0.5,0.7031777777777779,3582.9,397.20882055729606,0.5965,0.8613,2.5435
16.0,0.0,1.0,0.0,-0.5,0.52480625,3608.41,324.04281735014047,0.5408,0.9059,2.6155
25.0,0.0,1.0,0.0,-0.5,0.39734,3838.29,296.2445500402607,0.5323,0.9259,2.8562
36.0,0.0,1.0,0.0,-0.5,0.296975,3790.36,264.357176155504,0.5244,0.9335,3.3166
9.0,0.0,2.0,0.0,-0.5,0.6048333333333334,3235.54,477.74954056454095,0.6282,0.9022,1.3043
16.0,0.0,2.0,0.0,-0.5,0.51025,3502.75,308.7042524259563,0.5685,0.8855,2.8656
25.0,0.0,2.0,0.0,-0.5,0.36957999999999996,3884.01,340.5050545990507,0.5447,0.9391,2.0778
36.0,0.0,2.0,0.0,-0.5,0.2892333333333333,4094.91,311.6903124808771,0.5435,0.9566,2.4915
9.0,0.0,3.0,0.0,-0.5,0.6446222222222222,3218.23,437.87871067166105,0.6129,0.8971,1.4878
16.0,0.0,3.0,0.0,-0.5,0.47309375,3456.96,367.145581364436,0.5917,0.93,1.731
25.0,0.0,3.0,0.0,-0.5,0.335556,3696.69,374.54079596884657,0.5661,0.9509,1.4236
36.0,0.0,3.0,0.0,-0.5,0.26882222222222224,3679.35,305.51122125052626,0.5429,0.9512,2.1647
9.0,0.0,0.0,-3.0,-0.5,0.8212000000000002,6827.21,474.64046725819435,0.645,0.7715,6.4826
16.0,0.0,0.0,-3.0,-0.5,0.67014375,6814.1,379.2331860888132,0.5809,0.8303,6.7341
25.0,0.0,0.0,-3.0,-0.5,0.5165519999999999,6614.65,333.4984506021636,0.5596,0.8652,6.399
36.0,0.0,0.0,-3.0,-0.5,0.41051944444444444,7054.32,313.2530351487395,0.5511,0.8625,7.0561
9.0,0.0,0.0,-2.0,-0.5,0.7571666666666669,4221.81,372.2872891148847,0.5996,0.8383,4.2326
16.0,0.0,0.0,-2.0,-0.5,0.6142625,5032.43,324.0704180425252,0.5693,0.8601,5.2828
25.0,0.0,0.0,-2.0,-0.5,0.47825599999999996,5402.62,308.5694354681756,0.5485,0.894,5.1568
36.0,0.0,0.0,-2.0,-0.5,0.3686277777777777,5680.3,285.32930919065194,0.5395,0.8936,5.965
9.0,0.0,0.0,-1.0,-0.5,0.706777777777778,2896.31,308.1739883813004,0.5786,0.8615,2.9104
16.0,0.0,0.0,-1.0,-0.5,0.57556875,3918.92,292.32435514440147,0.5438,0.8877,4.0127
25.0,0.0,0.0,-1.0,-0.5,0.43363199999999996,4329.8,275.9955312922748,0.5326,0.9026,4.4551
36.0,0.0,0.0,-1.0,-0.5,0.3403722222222222,4736.04,266.96044173004066,0.5298,0.9071,4.9721
9.0,0.0,0.0,1.0,-0.5,0.6941555555555556,2401.84,261.5925991466796,0.557,0.8614,2.8307
16.0,0.0,0.0,1.0,-0.5,0.54175625,3435.17,261.06125208922896,0.5408,0.8414,4.1108
25.0,0.0,0.0,1.0,-0.5,0.40712400000000004,3711.13,255.72012096688243,0.5218,0.9006,3.9988
36.0,0.0,0.0,1.0,-0.5,0.2823555555555556,3326.43,230.53668673644728,0.5211,0.8945,3.8373
9.0,0.0,0.0,2.0,-0.5,0.6535555555555557,2268.81,291.5581862496058,0.5606,0.88,1.9162
16.0,0.0,0.0,2.0,-0.5,0.52539375,2785.18,216.8161254135151,0.5236,0.8392,4.0966
25.0,0.0,0.0,2.0,-0.5,0.35336000000000006,2949.87,218.01183031866415,0.5386,0.7712,4.1048
36.0,0.0,0.0,2.0,-0.5,0.26306666666666667,2785.81,217.90677210107046,0.509,0.9295,3.051
9.0,0.0,0.0,3.0,-0.5,0.6738888888888891,2239.1,267.7756877179925,0.5412,0.8694,2.282
16.0,0.0,0.0,3.0,-0.5,0.4975,2664.88,227.40026467916854,0.5315,0.8141,3.411
25.0,0.0,0.0,3.0,-0.5,0.372796,3180.82,212.39107069775267,0.531,0.7882,4.9482
36.0,0.0,0.0,3.0,-0.5,0.2315583333333333,2447.75,196.0743578048746,0.5218,0.7656,3.5598
9.0,-3.0,0.0,0.0,-0.4,0.7402666666666667,2223.39,222.01282387406076,0.6704,0.7804,3.0022
16.0,-3.0,0.0,0.0,-0.4,0.57689375,2814.79,215.79441611714097,0.653,0.8286,3.3983
25.0,-3.0,0.0,0.0,-0.4,0.44375600000000004,3095.48,199.48738049835626,0.6491,0.8526,3.8713
36.0,-3.0,0.0,0.0,-0.4,0.327275,3164.46,187.79724361736731,0.6584,0.8155,4.2795
9.0,-2.0,0.0,0.0,-0.4,0.7303222222222224,2738.81,286.4284162143411,0.6389,0.8128,2.7716
16.0,-2.0,0.0,0.0,-0.4,0.57781875,3109.65,233.79632415062906,0.6059,0.8576,3.6887
25.0,-2.0,0.0,0.0,-0.4,0.44566399999999995,3502.98,223.64454408633642,0.5988,0.8791,4.0343
36.0,-2.0,0.0,0.0,-0.4,0.3455,3819.82,210.32574162739627,0.6092,0.8665,4.9361
9.0,-1.0,0.0,0.0,-0.4,0.7408666666666668,2828.35,276.82006884513686,0.589,0.8252,3.3243
16.0,-1.0,0.0,0.0,-0.4,0.57828125,3520.02,274.0374441706083,0.5758,0.8756,3.4469
25.0,-1.0,0.0,0.0,-0.4,0.449272,3808.25,245.10460994984513,0.5456,0.8917,3.9526
36.0,-1.0,0.0,0.0,-0.4,0.3439361111111111,4045.65,230.37516979144863,0.5559,0.8963,4.5857
9.0,0.0,0.0,0.0,-0.4,0.7248222222222225,3141.38,317.91543577033246,0.5726,0.8582,3.2052
